date,grade,lunch,interesting,included,belong,topic
Mar 31st,NA,Lunch 1,Very,Strongly agree,Agree,Guest Speaker
Mar 31st,NA,Lunch 1,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 1,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 1,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 1,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 1,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 1,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 1,Fairly,Agree,Agree,Guest Speaker
Mar 31st,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 2,Fairly,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 2,Fairly,Agree,Agree,Guest Speaker
Mar 31st,NA,Lunch 2,Very,Agree,Agree,Guest Speaker
Mar 31st,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 2,NA,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 2,Fairly,Agree,Agree,Guest Speaker
Mar 31st,NA,Lunch 2,Fairly,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest Speaker
Mar 31st,NA,Lunch 2,Fairly,Agree,Agree,Guest Speaker
Mar 31st,NA,Lunch 2,Fairly,Agree,Agree,Guest Speaker
Mar 31st,NA,Lunch 2,Fairly,Agree,Agree,Guest Speaker
Mar 31st,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest Speaker
Apr 14th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 1,Fairly,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 1,Fairly,Neutral,Agree,Activity
Apr 14th,NA,Lunch 1,Very,Agree,Agree,Activity
Apr 14th,NA,Lunch 1,Very,Agree,Agree,Activity
Apr 14th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 1,Very,Agree,Agree,Activity
Apr 14th,NA,Lunch 1,Very,Agree,Agree,Activity
Apr 14th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 1,Very,Agree,Agree,Activity
Apr 14th,NA,Lunch 1,Very,Strongly agree,Agree,Activity
Apr 14th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 1,Very,Strongly agree,Agree,Activity
Apr 14th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 1,Very,Agree,Agree,Activity
Apr 14th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Activity
Apr 14th,NA,Lunch 2,Very,Strongly disagree,Strongly disagree,Activity
Apr 14th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Activity
May 12th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 1,Fairly,Agree,Agree,Guest / Discussion
May 12th,NA,Lunch 1,Fairly,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 1,Fairly,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 1,Fairly,Agree,Agree,Guest / Discussion
May 12th,NA,Lunch 1,Fairly,Agree,Agree,Guest / Discussion
May 12th,NA,Lunch 1,Fairly,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 1,Very,Agree,Agree,Guest / Discussion
May 12th,NA,Lunch 1,Fairly,Agree,Agree,Guest / Discussion
May 12th,NA,Lunch 1,Fairly,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 1,Very,Agree,Agree,Guest / Discussion
May 12th,NA,Lunch 1,Fairly,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 1,Fairly,Strongly agree,Agree,Guest / Discussion
May 12th,NA,Lunch 1,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Agree,Agree,Guest / Discussion
May 12th,NA,Lunch 2,Fairly,Agree,Agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Agree,Agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Fairly,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 12th,NA,Lunch 2,Very,Strongly agree,Strongly agree,Guest / Discussion
May 31st,NA,NA,Fairly,Agree,Agree,Out of School Activity
May 31st,NA,NA,Very,Strongly agree,Strongly agree,Out of School Activity
May 31st,NA,NA,Very,Strongly disagree,Strongly disagree,Out of School Activity
May 31st,NA,NA,Very,Strongly agree,Strongly agree,Out of School Activity
May 31st,NA,NA,Very,Strongly agree,Strongly agree,Out of School Activity
May 31st,NA,NA,Very,Strongly agree,Strongly agree,Out of School Activity
May 31st,NA,NA,Very,Strongly agree,Strongly agree,Out of School Activity
